autobahn,station_id,title,subtitle,description,latitude,longitude,extent,direction
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQzNDA=,A3 | Frankfurt am Main | Raststätte Königsforst West,Schnellladeeinrichtung,"A3 | Frankfurt am Main | Raststätte Königsforst West 51503 Rösrath  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.898194,7.15189,"7.15189,50.898194,7.15189,50.898194",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fOTQzNA==,A3 | Frankfurt am Main | Medenbach West,Schnellladeeinrichtung,"A3 | Frankfurt am Main | Medenbach West 65207 Wiesbaden  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.096305,8.351742,"8.351742,50.096305,8.351742,50.096305",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTcxNjg=,A3 | Frankfurt am Main | Fernthal West,Schnellladeeinrichtung,"A3 | Frankfurt am Main | Fernthal West 53577 Neustadt/Wied  Ladepunkt 1: DC Kupplung Combo, DC CHAdeMO 50 kW  Ladepunkt 2: AC Kupplung Typ 2 43 kW",50.600003,7.432143,"7.432143,50.600003,7.432143,50.600003",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fOTkzNg==,A3 | Frankfurt am Main | Bad Camberg West,Schnellladeeinrichtung,"A3 | Frankfurt am Main | Bad Camberg West 65520 Bad Camberg  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.300794,8.234861,"8.234861,50.300794,8.234861,50.300794",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTY0OTE=,A3 | Duisburg |Raststätte Ohligser Heide Ost,Schnellladeeinrichtung,"A3 | Duisburg |Raststätte Ohligser Heide Ost 42967 Solingen  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",51.1575,6.963889,"6.963889,51.1575,6.963889,51.1575",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQzMzk=,A3 | Duisburg | Raststätte Königsforst Ost,Schnellladeeinrichtung,"A3 | Duisburg | Raststätte Königsforst Ost 51503 Rösrath  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.899444,7.152222,"7.152222,50.899444,7.152222,50.899444",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTUyNDA=,A3 | Duisburg | Raststätte Hünxe West (2),Schnellladeeinrichtung,"A3 | Duisburg | Raststätte Hünxe West (2) 46569 Hünxe  Ladepunkt 1: DC Kupplung Combo 300 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 300 kW",51.635293,6.744913,"6.744913,51.635293,6.744913,51.635293",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTUyMzk=,A3 | Duisburg | Raststätte Hünxe West (1),Schnellladeeinrichtung,"A3 | Duisburg | Raststätte Hünxe West (1) 46569 Hünxe  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",51.635664,6.744846,"6.744846,51.635664,6.744846,51.635664",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTY0NzM=,A3 | Duisburg | Ohligser Heide Ost,Schnellladeeinrichtung,A3 | Duisburg | Ohligser Heide Ost 42697 Solingen  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,51.157162,6.963942,"6.963942,51.157162,6.963942,51.157162",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTcxNzA=,A3 | Bonn | Raststätte Urbacher Wald Ost,Schnellladeeinrichtung,"A3 | Bonn | Raststätte Urbacher Wald Ost 56307 Dernbach  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.548215,7.584985,"7.584985,50.548215,7.584985,50.548215",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTAxNzI=,A3 | AS Hanau | Liebigstraße 7,Normalladeeinrichtung,A3 | AS Hanau | Liebigstraße 7 63110 Rodgau  Ladepunkt 1: AC Steckdose Typ 2 22 kW  Ladepunkt 2: AC Steckdose Typ 2 22 kW,50.055283,8.897487,"8.897487,50.055283,8.897487,50.055283",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQyNzA=,A4 | Köln | Raststätte Frechen Süd,Schnellladeeinrichtung,"Köln | Raststätte Frechen Süd 50226 Frechen  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.928338,6.778011,"6.778011,50.928338,6.778011,50.928338",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQzMzA=,A4 | Siegen | Raststätte Aggertal Süd,Schnellladeeinrichtung,"A4 | Siegen | Raststätte Aggertal Süd 51491 Overath  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.951804,7.320669,"7.320669,50.951804,7.320669,50.951804",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQzMzI=,A4 | Siegen | Aggertal Süd,Schnellladeeinrichtung,"A4 | Siegen | Aggertal Süd 51491 Overath  Ladepunkt 1: DC Kupplung Combo 300 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 300 kW",50.951946,7.320656,"7.320656,50.951946,7.320656,50.951946",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQzMjk=,A4 | Köln | Raststätte Aggertal Nord,Schnellladeeinrichtung,"A4 | Köln | Raststätte Aggertal Nord 51491 Overath  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.951687,7.3217962,"7.3217962,50.951687,7.3217962,50.951687",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQzMzE=,A4 | Köln | Aggertal Nord,Schnellladeeinrichtung,"A4 | Köln | Aggertal Nord 51491 Overath  Ladepunkt 1: DC Kupplung Combo 300 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 300 kW",50.9516664,7.3180289,"7.3180289,50.9516664,7.3180289,50.9516664",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQ4MTU=,A4 | Köln | Aachener Land Süd,Schnellladeeinrichtung,A4 | Köln | Aachener Land Süd 52249 Eschweiler  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,50.816865,6.215741,"6.215741,50.816865,6.215741,50.816865",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTk3NDM=,A4 | Erfurt | Teufelstal Nord,Schnellladeeinrichtung,"A4 | Erfurt | Teufelstal Nord 07646 Bollberg  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.877326,11.808342,"11.808342,50.877326,11.808342,50.877326",
A4,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTk1OTU=,A4 | Erfurt | Raststätte Altenburger Land Nord,Schnellladeeinrichtung,"A4 | Erfurt | Raststätte Altenburger Land Nord 04626 Schmölln  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.86087,12.30796,"12.30796,50.86087,12.30796,50.86087",
