autobahn,parking_id,title,subtitle,description,latitude,longitude,is_blocked,lorry_parking_feature_icons,extent,direction
A4,DE-SN-000056,A4 | undefined,Rossauer Wald Süd,PKW Stellplätze: 38 LKW Stellplätze: 24,,,false,"[{'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A4,DE-SN-000018,A4 | undefined,Am Steinberg Süd,PKW Stellplätze: 25 LKW Stellplätze: 20,,,false,"[{'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A4,DE-SN-000017,A4 | undefined,Am Steinberg Nord,PKW Stellplätze: 25 LKW Stellplätze: 20,,,false,"[{'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A4,DE-SN-000028,A4 | undefined,Dresdner Tor Nord,PKW Stellplätze: 140 LKW Stellplätze: 137,,,false,"[{'description': 'Raststätte/Restaurant', 'style': '', 'icon': 'almofont almo-utensils'}, {'description': 'Tankstelle', 'style': '', 'icon': 'almofont almo-gaspump'}, {'description': 'Kiosk/Geschäft', 'style': '', 'icon': 'fa fa-shopping-basket'}, {'description': 'Defibrillator', 'style': '', 'icon': 'fa fa-heartbeat'}, {'description': 'WLAN', 'style': '', 'icon': 'fa fa-wifi'}, {'description': 'Spielplatz', 'style': '', 'icon': 'almofont almo-playground'}, {'description': 'Dusche vorhanden', 'style': '', 'icon': 'fa fa-shower'}, {'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}, {'description': 'Mautterminal', 'style': '', 'icon': 'almofont almo-toll_terminal'}]",,
A4,DE-SN-000029,A4 | undefined,Dresdner Tor Süd,PKW Stellplätze: 88 LKW Stellplätze: 156,,,false,"[{'description': 'Motel/Hotel', 'style': '', 'icon': 'almofont almo-hotel'}, {'description': 'Raststätte/Restaurant', 'style': '', 'icon': 'almofont almo-utensils'}, {'description': 'Tankstelle', 'style': '', 'icon': 'almofont almo-gaspump'}, {'description': 'Kiosk/Geschäft', 'style': '', 'icon': 'fa fa-shopping-basket'}, {'description': 'Defibrillator', 'style': '', 'icon': 'fa fa-heartbeat'}, {'description': 'WLAN', 'style': '', 'icon': 'fa fa-wifi'}, {'description': 'Spielplatz', 'style': '', 'icon': 'almofont almo-playground'}, {'description': 'Dusche vorhanden', 'style': '', 'icon': 'fa fa-shower'}, {'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}, {'description': 'Warenautomat', 'style': '', 'icon': 'almofont almo-vending_machine'}, {'description': 'Geldautomat', 'style': '', 'icon': 'fa fa-eur'}]",,
A4,DE-SN-000009,A4 | undefined,Am Eichelberg S,PKW Stellplätze: 52 LKW Stellplätze: 16,,,false,"[{'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A4,DE-SN-000010,A4 | undefined,Am Eichelberg N,PKW Stellplätze: 52 LKW Stellplätze: 16,,,false,"[{'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A4,DE-SN-000051,A4 | undefined,Rödertal S,PKW Stellplätze: 27 LKW Stellplätze: 10,,,false,"[{'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A4,DE-SN-000052,A4 | undefined,Rödertal N,PKW Stellplätze: 27 LKW Stellplätze: 10,,,false,"[{'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}]",,
A4,DE-SN-000049,A4 | undefined,Oberlausitz N,PKW Stellplätze: 68 LKW Stellplätze: 40,,,false,"[{'description': 'Raststätte/Restaurant', 'style': '', 'icon': 'almofont almo-utensils'}, {'description': 'Tankstelle', 'style': '', 'icon': 'almofont almo-gaspump'}, {'description': 'Kiosk/Geschäft', 'style': '', 'icon': 'fa fa-shopping-basket'}, {'description': 'Docstop', 'style': '', 'icon': 'almofont almo-docstop'}, {'description': 'Defibrillator', 'style': '', 'icon': 'fa fa-heartbeat'}, {'description': 'WLAN', 'style': '', 'icon': 'fa fa-wifi'}, {'description': 'Spielplatz', 'style': '', 'icon': 'almofont almo-playground'}, {'description': 'Dusche vorhanden', 'style': '', 'icon': 'fa fa-shower'}, {'description': 'Toilette vorhanden', 'style': '', 'icon': 'almofont almo-restroom'}, {'description': 'Mautterminal', 'style': '', 'icon': 'almofont almo-toll_terminal'}, {'description': 'Warenautomat', 'style': '', 'icon': 'almofont almo-vending_machine'}, {'description': 'Geldautomat', 'style': '', 'icon': 'fa fa-eur'}]",,
